Original Name,Search Term
OMECURE 40 MG POWDER FOR I.V. INJECTION,OMECURE
JAZOFEN 200 MG TAB,JAZOFEN
IVARIN 5MG FILM COATED TABLET,IVARIN
ITRAZOL 100 mg capsule,ITRAZOL
INSULATARD,INSULATARD
INNOHEP 20000 ANTI-XA IU-ML VIAL,INNOHEP
INFLUVAC VACCINE,INFLUVAC
INTELENCE 100 MG TABLETS,INTELENCE
INVEGA 6MG EXTENDED- RELEASE TABLETS,INVEGA
INTRATECT 50MG-ML SOLUTION FOR INFUSION,INTRATECT
INFLA-BAN 50MG SUPP.,INFLABAN
KONAKION MM 10MG-ML AMP I.V.,KONAKION
KOATE DVI 500 IU VIAL,KOATE
KLAVOX SUSPENSION 156MG-5ML,KLAVOX
KORANDIL,KORANDIL
KULAX 65MG-100ML SYRUP,KULAX
LACINE 50MG F.C. TABLETS,LACINE
KETONIL 1MG-5ML SYRUP,KETONIL
KETOFAN 25MG TAB,KETOFAN
KETESSE 25MG F.C.TABLET,KETESSE
KERASAL 10 % OINTMENT,KERASAL
KENACORT-A 40MG\ML INJ,KENACORTA
KAPECT SUSP.,KAPECT
KAFOSED SYRUP 15MG-5ML,KAFOSED
KLARIMID 500MG F.C. TABLETS,KLARIMID
KLACID XL 500MG TAB,KLACID
KIOVIG 100MG/ML SOLUTION FOR INFUSION,KIOVIG
Zistan SYRUP,ZISTAN
HIKMA MIDAZOLAM 5MG-1ML AMPOULES,HIKMA
HI-CAL,HICAL
HIBOR 7500 I.U. - 0.3 ML PREFILLED SYRINGE,HIBOR
HISTOFEN SYRUP 1MG/5ML,HISTOFEN
HISTOP 2MG-5ML SYRUP,HISTOP
HUMAN ALBUMIN 5%,HUMAN
HOLOXAN 500MG VIAL IV,HOLOXAN
HUMALOG 100 I.U VIALS,HUMALOG
HAVRIX 720 EFISA UNITS-.5ML JUNIOR VACCI,HAVRIX
HARTMANNS SOLUTION 1\2,HARTMANNS
HARNAL 0.4MG MODIFIED RELEASE CAPSULES,HARNAL
HALDOL DECANOAS INJ 50MG,HALDOL
HAIRGROW,HAIRGROW
HAIRGAIN 5% W-V SOLUTION FOR MEN,HAIRGAIN
HEMAMAX 100 MG CHEWABLE OR SWALLOWABLE TABLETS,HEMAMAX
HERCEPTIN 150MG VIAL,HERCEPTIN
HEPSAL AMP 10 UNITS-ML,HEPSAL
HEPIX 100MG F-C TABLETS,HEPIX
HEPATECT CP,HEPATECT
Hepa-Merz,HEPAMERZ
HEMOFIL M 500 IU VIAL,HEMOFIL
IMPLANON NXT IMPLANT 68MG,IMPLANON
IMODIUM 2MG CAPSULE,IMODIUM
IMMUNATE S-D 500 I.U. POWDER FOR INJ,IMMUNATE
IMIGRAN 6MG-0.5ML AMP,IMIGRAN
INFASURF 35 MG/ML INTRATRACHEAL SUSPENSION,INFASURF
INFANRIX HEXA VACCINE,INFANRIX
INDOMIN CAP 25MG,INDOMIN
INDICARDIN 10 mg tablet,INDICARDIN
INDERAL TABLETS 40 MG.,INDERAL
VERORAB VACCINE,VERORAB
INDOCID 100MG SUPPOSITORIES,INDOCID
IMAVIR 5% CREAM,IMAVIR
HYMOX 125MG-5ML POWDER FOR ORAL SUSPENSION,HYMOX
HYLO-COMOD 0.1% EYE DROP,HYLOCOMOD
HYFRESH 2 MG- ML OPHTHALMIC SOLUTION,HYFRESH
HYDROSONE 20MG TABLET,HYDROSONE
HYDROCORTISONE 100M VIAL+SOLVENT 2ML AMP,HYDROCORTISONE
HYALGAN 20MG-2ML PRE-FILLED SYRINGE,HYALGAN
HUMULIN-R-REGULAR 100 U-ML,HUMULINRREGULAR
HUMULIN-N-NPH 100 U-ML,HUMULINNNPH
HUMULIN 70-30 100U-ML,HUMULIN
HYDRODERM CREAM PLUS,HYDRODERM
FLUZYN 20MG CAPSULES,FLUZYN
ICHTHAMMOL 10% OINTMENT,ICHTHAMMOL
Brofenex 5GM- 100GM CREAM,BROFENEX
HYZAAR 50/12.5 mg film-coated tablet,HYZAAR
HYPOSEC 20 MG CAPSULE,HYPOSEC
HYPODIPINE 5MG CAPSULES,HYPODIPINE
HYOPAN SYRUP 5 MG-5 ML,HYOPAN
FLUTAB TABLET,FLUTAB
DOBUTAMINE HCL 250MG-20ML VIAL,DOBUTAMINE
DOBUJECT 50MG-ML(250MG-5ML) AMPOULE,DOBUJECT
DIVIDO 75MG DUAL RELEASE CAP,DIVIDO
DIUSEMIDE 40 MG TAB,DIUSEMIDE
DISPRIN,DISPRIN
DISPERCAM GEL 0.5%,DISPERCAM
DOGMATIL AMP 100MG,DOGMATIL
DOPAMIN HCL 40MG-ML INJ VIAL,DOPAMIN
DOMPY 10MG TABLET,DOMPY
DOLVIC- K 50 MG F- C TABLETS,DOLVIC
DOLGIT CREAM 50MG-G,DOLGIT
DIPROFOS INJ. 2ML,DIPROFOS
DIFFERIN 0.1% GEL,DIFFERIN
DICYNONE 500 MG TABLETS,DICYNONE
DICLON 1% EMULGEL,DICLON
DICLOMAX 50 MG TAB,DICLOMAX
DICLOGESIC 50MG SUPPOSITORY,DICLOGESIC
DILANYL SYRUP,DILANYL
DIPEPTIVEN 20GM/100ML CONC,DIPEPTIVEN
DIOVAN 80MG TAB,DIOVAN
DILZEM RETARD,DILZEM
EARCALM,EARCALM
DUSPATALIN 200MG PROLONGED RELEASE CAPS,DUSPATALIN
DUSPAMEN 135MG TAB,DUSPAMEN
DUROGESIC TTS 75 Ug-HOUR,DUROGESIC
DURATEARS OCULAR OINT.,DURATEARS
DURACAN 150MG CAPSULE,DURACAN
Ebetaxel 30mg/5ml,EBETAXEL
ELDOQUIN CREAM 2%,ELDOQUIN
DUPHALAC ORAL SOLUTION,DUPHALAC
EFEXOR XR 150 MG CAPSULES,EFEXOR
ECZADERM 0.1% W-W OINTMENT,ECZADERM
ECALTA 100MG POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION,ECALTA
EBIXA 20MG FILM COATED TABLETS,EBIXA
DOXORUBICIN 2MG-MLVIAL,DOXORUBICIN
DOXIVENIL,DOXIVENIL
DOTAREM 376MG-ML PREFILLED SYRINGE,DOTAREM
DOSTINEX 0.5MG TABLET,DOSTINEX
DOROFEN 500-50 MG CAPSULE,DOROFEN
DORMICUM 15MG-3ML  AMP.,DORMICUM
DOXYCIN,DOXYCIN
DRAMYLIN PEDIATRIC SYRUP,DRAMYLIN
DUODART Capsule,DUODART
DROLATE 70 MG FILM COATED TABLETS,DROLATE
DROF 2% SHAMPOO,DROF
DICLAC 75MG ID TABLETS,DICLAC
DIAMICRON MR TABLET,DIAMICRON
DIANEAL PD4 GLUCOSE 3.86% SOLUTION FOR PERITONEAL DIALYSIS,DIANEAL
DICETEL TAB 50MG,DICETEL
ELICA 0.1% CREAM,ELICA
FEVADOL FAST 500MG TABLETS,FEVADOL
FERTAB 50MG TAB,FERTAB
FERRO-FOL CAPSULE,FERROFOL
FERRIPROX 500MG F.C.TABLET,FERRIPROX
FEROTON 20MG-ML SOLU. FOR I.V. INJECTION,FEROTON
FEROSE TAB (EQV.TO 100MG OF IRON),FEROSE
FIXIT 300MG CAPSULE,FIXIT
FIRMAGON 80MG POWDER FOR SOLUTION FOR INJECTION,FIRMAGON
FINISCAR 5MG F.C. TABLETS,FINISCAR
FINALLERG 1MG-1ML ORAL SOLUTION,FINALLERG
FEXOTEL 120MG TABLET,FEXOTEL
FEXODINE 180MG TABLET,FEXODINE
FINASID 5MG FILM COATED TABLET,FINASID
FEROSAC INJ 20MG-ML AMP,FEROSAC
FENAM 250MG TAB,FENAM
FENADEX 180MG F.C. TABLETS,FENADEX
FEMOSTON 2-10 TABLET,FEMOSTON
FELDENE 20MG-ML AMP.,FELDENE
FEIBA  25 U/ml POWDER & SOLVENT,FEIBA
FAWAR LEMON EFFERVESCENT SALT SACHETS 5G,FAWAR
FENAMIC 250 MG CAP,FENAMIC
FEROMIN ORAL DROPS,FEROMIN
Fentanyl Piramal  0.05MG-ML AMPOULES,FENTANYL
FENISTIL GEL,FENISTIL
FENOGAL 200MG LIDOSE CAPSULES,FENOGAL
FAVERIN 50MG EC TABS,FAVERIN
FLAMAZINE CREAM,FLAMAZINE
FLUDREX SYRUP,FLUDREX
FLUCO-SOL 2MG/ML SOLUTION FOR I.V. INFUSION,FLUCOSOL
FLUCAND 200MG-100ML INFUSION VIAL,FLUCAND
FLUCA OPTHALMIC SUSP.,FLUCA
FLUANXOL DEPOT INJ 20MG-ML,FLUANXOL
FLUIMUCIL 200MG/1GM GRANULES FOR ORAL SOLUTION,FLUIMUCIL
FLUOXETIN HEXAL 20MG CAPSULES,FLUOXETIN
Fluorouracil Ebewe  500mg/10ml,FLUOROURACIL
FLUMED DM PAED SYRUP,FLUMED
FLUKAS 200 VIAL,FLUKAS
FLIXOTIDE 125 MCG EVOHALER,FLIXOTIDE
Otri Allergy Nasal Spray,OTRI
FLEET ENEMA,FLEET
FLECTOR EP TISSUGEL 1GM PATCHES,FLECTOR
FLAZOL 500MG TAB,FLAZOL
FLATICON 60MG CHEWABLE TABLETS,FLATICON
FLOZAK,FLOZAK
FLOCAZOLE 150 MG CAPSULES,FLOCAZOLE
FATLOS 120MG CAPSULES,FATLOS
EPICOCILLIN VIAL 1G,EPICOCILLIN
EPENTAL 1G VIAL,EPENTAL
EPANUTIN,EPANUTIN
ENTAPRO 20MG FILM COATED TABLETS,ENTAPRO
ENEMACORT 0.02MG-ML TABLET FOR ENEMA,ENEMACORT
ENDOXAN. VIAL 200 MG,ENDOXAN
EPICOGEL SUSPENSION,EPICOGEL
EPIFASI 5000 IU LYOPHILIZED POWDER FOR I.M. Injection*,EPIFASI
EPIVIR 150MG F.C TABLET,EPIVIR
EPISTIGMIN 2.5MG/ML VIAL,EPISTIGMIN
Epirubicin “Ebewe” 200mg/100ml,EPIRUBICIN
EPIRAZOLE 20MG CAPS(E.C.PELLETS),EPIRAZOLE
EPIMAG EFFERVESCENT GRANULE SACHET,EPIMAG
EPILAT 10MG CAPS,EPILAT
EPIGONAL 75 I.U. LYOPHILIZED POWDER FOR I.M. Injection*,EPIGONAL
EPIFENAC 75MG/3ML SOLUTION FOR INJECTION,EPIFENAC
EPIZOLONE DEPOT 40MG/ML VIAL,EPIZOLONE
EMICIPRO 500MG F.C. TABLETS,EMICIPRO
ELIQUIS 5MG FILM COATED TABLET,ELIQUIS
ELIDEL 1% CREAM,ELIDEL
ELICASAL OINTMENT,ELICASAL
ELICA-M CREAM,ELICAM
EMIDOL 120MG-5ML SUSPENSION,EMIDOL
ENAPRIL 10 MG TAB,ENAPRIL
ENABLEX 7.5MG PROLONGED RELEASE TABLETS,ENABLEX
E-MOX 250MG DRY MIX.,EMOX
EMIMYCIN 500 MG TABLETS,EMIMYCIN
EMILOK 20MG CAPSULES,EMILOK
EMIFENAC 50 MG DISPERSABLE TAB.,EMIFENAC
EMIFEN 600 MG F-C TAB,EMIFEN
EPREX 1000 U-0.5ML PREFILLED SYRING,EPREX
EXJADE 250MG DISPERSIBLE TABLETS,EXJADE
EXFORGE HCT 5MG/160MG/25MG FILM COATED TABLET,EXFORGE
EXELON 9.5MG-24H TRANSDERMAL PATCHES,EXELON
EXYLIN PEDIATRIC SYRUP,EXYLIN
FASTUM 2.5% GEL,FASTUM
FAST- FLAM 50MG F.C. TABLETS,FAST
FARCOLIN 0.5% RESPIRATOR Solution,FARCOLIN
FAMPYRA 10MG Prolonged-release tablet,FAMPYRA
FALLAH 50 mg film-coated tablets,FALLAH
EVRA TRANSDERMAL PATCHES,EVRA
FACTIVE 320MG F.C. TABLETS,FACTIVE
EZOLVIN 8MGTAB,EZOLVIN
EZIPECT 12.5MG-5ML SYRUP,EZIPECT
EZILAX 10G-15ML SYRUP,EZILAX
EYLOX 0.3% EYE DROPS,EYLOX
EVIT 400MG CAPSULES,EVIT
ERECTA 50 mg film-coated tablets,ERECTA
ERACID 500MG FILM COATED TABLETS,ERACID
ESMERON 10MG\ML VIAL,ESMERON
"ETOPOSID ""EBEWE"" 20MG-ML VIAL",ETOPOSID
EUTHYROX,EUTHYROX
EUCARBON TAB,EUCARBON
ETRIVEX 0.05% SHAMPOO,ETRIVEX
ETORIA 90MG FILM COATED TABLETS,ETORIA
L-CET 5 mg film-coated tablet,LCET
STABLIX 0.5 ML SUSPENSION FOR INJECTION Vials,STABLIX
VITREAL S OPHTHALMIC SUSPENSION,VITREAL
ENCIFER 20MG/ML SOLU. FOR I.V. INJECTION,ENCIFER
IMTUS 20MG/ML SOL. FOR INFUSION,IMTUS
ZOLEDRONIC ACID SPC 5MG/100ML SOL. FOR INFUSION,ZOLEDRONIC
ROFLAST 500 mcg,ROFLAST
Genotropin GoQuick 5.3 mg,GENOTROPIN
OTEZLA 30MG F.C.TAB,OTEZLA
FLORYL 50 MG/ML SOLUTION FOR INJECTION/INFUSION,FLORYL
AREKSA 25MG F.C.TAB,AREKSA
ACCEPT 500MG F.C.TAB,ACCEPT
ALLERCET 5MG F.C.TABLET,ALLERCET
AZACITIDINE SPC 100 MG INJECTION,AZACITIDINE
DETREMIN 20000IU/ML ORAL DROPS,DETREMIN
ZOTIMOS 4MG VIAL,ZOTIMOS
ARXIA 60MG F.C.TABLET,ARXIA
ROXARDIO 20MG F.C.TABLET,ROXARDIO
ZINFORO 600 MG I.V. VIAL,ZINFORO
COVATEL,COVATEL
VERCANZA 450 MG FILM COATED TABLET,VERCANZA
LEUKAIR 10MG F.C.TABLET,LEUKAIR
ZORON 2MG/ML INJECTION,ZORON
LETIREM 1000 MG FILM COATED TABLET,LETIREM
SARFEX 180MG F.C.TAB.(30S),SARFEX
Azeptil 100 mg/ml Injection,AZEPTIL
VELTASSA 16.8G SACHET,VELTASSA
VARIVAX 1350 PFU VIAL,VARIVAX
AERIALLERG 5MG FILM COATED TABLET,AERIALLERG
VITOPEINE IV,VITOPEINE
SENERGY 10 MG/160 MG F.C. TABLET,SENERGY
GLERAN 15MG TABLET,GLERAN
DIROGIT 500 MG F. C. TABLET,DIROGIT
OROTIX 60MG F.C.TABLET,OROTIX
MEROPENEM KABI.,MEROPENEM
LUKRA 5MG CHEWABLE TABLET,LUKRA
MONOCLOX 250MG VIAL,MONOCLOX
TERA D 50000IU CAPSULE,TERA
OMEGANA 1000MG SOFT CAPSULE,OMEGANA
REDEX 5 MG F.C.TABLET,REDEX
ROZLET 2.5 MG FILM COATED TABLET,ROZLET
ABIRATERONE SPC 250MG F.C.TABLET,ABIRATERONE
OXYNORM 5MG CAPSULE,OXYNORM
JULPHACEF 1GM I.M.-I.V. INJECTION,JULPHACEF
Juvamox,JUVAMOX
JUSPRIN 81MG ENTERIC COATED TABLETS,JUSPRIN
KAPTIN SUSP,KAPTIN
KDIRON DROPS,KDIRON
LANFAST 30MG CAPSULE,LANFAST
LAXOCODYL 10MG SUPP,LAXOCODYL
LAXOLYNE SUPP FOR CHILDREN,LAXOLYNE
JULMENTIN FORTE 312.5MG POWDER FOR SUSP,JULMENTIN
GLYPRIDE 3 MG TABLET,GLYPRIDE
GUPISONE TAB 5MG,GUPISONE
GYNO-MIKOZAL 200MG VAG.OVULE,GYNOMIKOZAL
HAEMOPROCT,HAEMOPROCT
HISTALOC 25MG F.C. TABLETS,HISTALOC
IBUGESIC,IBUGESIC
AMCOCID 100MG-2ML INJ,AMCOCID
MIKOSTAT 100000 U OINTMENT,MIKOSTAT
MIKOZAL 2% cream,MIKOZAL
MIXAVIT SYRUP,MIXAVIT
MODODOM 10MG F.C. TABLETS,MODODOM
MOXAL PLUS Suspension,MOXAL
LOJOUR 5MG\5ML SYRUP,LOJOUR
LOMAX 400MG TAB,LOMAX
LOVRAK 5% cream,LOVRAK
LORADAD 10MG TABLETS,LORADAD
DEXIPAN 5%  CREAM,DEXIPAN
DIALON 1000MG F.C. TABLETS,DIALON
DIZINIL 50MG TAB,DIZINIL
DOXYDAR,DOXYDAR
DURADOX 100 MG CAPS,DURADOX
ENOXIRT 0.25GM I.M. VIAL + SOLVENT,ENOXIRT
CYNOVIT 1MG-1ML I.M. Injection*,CYNOVIT
CIPRODAR 500,CIPRODAR
CLAMYCIN 500 MG TABLET,CLAMYCIN
CLOFEN 75MG INJECTION,CLOFEN
CLAREX 500MG TABLET,CLAREX
MUCOLYTE SYRUP,MUCOLYTE
FOLICUM 1 MG TABLET,FOLICUM
FUSIX 40MG TABLET,FUSIX
FUTASOLE 2% OINTMENT,FUTASOLE
GAMAVATE 0.05% ointment,GAMAVATE
EROMYCIN 200MG-5ML SUSP,EROMYCIN
ERYTHRODAR,ERYTHRODAR
FLOXACIN 500 MG COATED TABLET,FLOXACIN
FAMODAR,FAMODAR
FEROMAX 20MG/ML Injection*,FEROMAX
CHLOROHISTOL TAB 4 MG.,CHLOROHISTOL
MUCUM 15MG-5ML SYRUP,MUCUM
TRIMOL SUSP,TRIMOL
UROXIN 400MG TAB,UROXIN
VANCOLON 0.5GM-VIAL I.V.,VANCOLON
VIT. A +D ORAL DROPS,VIT
THIAVIT 100MG TAB,THIAVIT
SOFLAX SOLUTION,SOFLAX
SUCRAZIDE 5MG TAB,SUCRAZIDE
SUPRAPROCT-S OINT.,SUPRAPROCTS
TENSOTIN 100 MG TAB,TENSOTIN
TETRACYCLINE SKIN OINT 3%,TETRACYCLINE
XYLOLIN 0.05%CHILD NASAL SPRAY,XYLOLIN
MOTRINEX 5 mg Chewable Tablet,MOTRINEX
VEGGIE VITAMIN D3 50000 I.U. Soft Gelatin Capsule,VEGGIE
BERESAR 300 mg Film-coated Tablet,BERESAR
XEMADERM 0.1 % Ointment,XEMADERM
CINFAVAL 80 mg Film-coated Tablet,CINFAVAL
CO-CINFAVAL,COCINFAVAL
COVAZ,COVAZ
DIVAD 10000 I.U Capsule,DIVAD
ESPERAL 25 mg Film Coated Tablet,ESPERAL
LEBALIN 150 MG CAPSULE,LEBALIN
PANTONIX 40 mg powder for infusion,PANTONIX
NEGAFEN 1% cream,NEGAFEN
IRSOTAN 150 mg Film Coated Tablet,IRSOTAN
TYRA 20 mg film-coated tablet,TYRA
PARAZOLE 100MG TABLET,PARAZOLE
PANDERM SKIN OINTMENT,PANDERM
POTENCORT 0.005% OINTMENT,POTENCORT
PREMOSAN 10 mg tablet,PREMOSAN
PRIMOCEF 0.5 GM I.M- I.V VIAL,PRIMOCEF
ORAMAX 150MG CAPSULES,ORAMAX
MYOGESIC,MYOGESIC
NASIVIN DROPS 0.025%,NASIVIN
NEGACEF 1GM VIAL,NEGACEF
NEGAZOLE 500MG TAB.,NEGAZOLE
OMEPREX 20 mg capsule,OMEPREX
PROFINAL 200MG TAB,PROFINAL
ROXAMED,ROXAMED
RUBICALM CREAM,RUBICALM
SALINAL 41.2MG-ML ORAL DROPS,SALINAL
SALURIN 20MG-2ML AMPOULES,SALURIN
SARF 500MG TAB,SARF
SCOPINAL 20MG AMPOULE,SCOPINAL
SEDOFAN SYRUP.,SEDOFAN
ROTHACIN 100MG SUPPOSITORIES,ROTHACIN
RISEK,RISEK
AMURETIC 5MG/50MG TAB,AMURETIC
AMYDRAMINE EXPECTORANT SYRUP,AMYDRAMINE
ANXETIN 20MG CAPSULES,ANXETIN
APHRODIL 50 mg Film coated tablet,APHRODIL
ASMAFORT 1MG\5ML SYRUP,ASMAFORT
AMLOPRESS 5MG CAPSULES,AMLOPRESS
ADOL 125 MG RECTAL SUPPOSITORIES,ADOL
ADVAQUIN 500MG FILM COATED TABLET,ADVAQUIN
ALBENDA 100MG\5ML SUSP,ALBENDA
ALFACORT 1% CREAM,ALFACORT
AMOLAR 10MG CAPSULES,AMOLAR
AMLOPHAR 5MG CAPSULES,AMLOPHAR
CAPOCARD 25MG TAB,CAPOCARD
CARBATOL 200MG TAB,CARBATOL
CEFOVEX 500MG TABLET,CEFOVEX
LEXEK 125MG-5ML SUSP,LEXEK
CEFUZIME 125MG-5ML POWDER FOR ORAL SUSP,CEFUZIME
CETRALON 10 MG TAB,CETRALON
BUTALIN TABS 4MG,BUTALIN
AZOMAX 250MG CAPSULE,AZOMAX
AZOMYCIN 200MG\5ML SUSP.,AZOMYCIN
BETASONE 0.1% CREAM,BETASONE
TELFAST 120 MG FILM COATED TAB,TELFAST
ATOXIA 120 mg Film-coated Tablet,ATOXIA
ARBAVAL 320 mg film-coated tablet,ARBAVAL
Feradef 100 mg injection,FERADEF
ZOLIX 5 mg film-coated tablet,ZOLIX
NEUROGAB 150 mg capsule,NEUROGAB
LETARA 2.5 mg tablet,LETARA
MOXIFLOX 400 mg film-coated tablet,MOXIFLOX
LANOXIN 0.05MG-ML ELIXIR,LANOXIN
DESTAMIN 5 mg film-coated tablet,DESTAMIN
COLAT 500 mg powder for solution for infusion,COLAT
NORMATEC 20 mg film-coated tablet,NORMATEC
LEVAQUIN 500 mg film-coated tablet,LEVAQUIN
BUTAFYL 1% cream,BUTAFYL
AMAGLIME 1 mg tablet,AMAGLIME
CLOVIRAX 5% cream,CLOVIRAX
LYRGABA 75 mg capsule,LYRGABA
DUETACT 30/4 mg tablet,DUETACT
LEVACIN 750 mg film-coated tablet,LEVACIN
GLANDY 60 mg film-coated tablet,GLANDY
MEMAXIA 10 mg film-coated tablet,MEMAXIA
ALLAIR 4 mg chewable tablet,ALLAIR
FERROVEN 20 mg/ml injection,FERROVEN
Alburex,ALBUREX
ACTOSMET 15/850 mg tablet,ACTOSMET
VFONAZ 50 mg film-coated tablet,VFONAZ
QUETTA XR 300 mg tablet,QUETTA
CERUXIM 750 mg powder for solution for injection or infusion,CERUXIM
AMODIP 5 mg capsule,AMODIP
ATOZET 10/10 mg film-coated tablet,ATOZET
MODEXA 30 mg gastro-resistant capsule,MODEXA
MINOCET 300 mg capsule,MINOCET
RYZODEG FlexTouch 100 u/ml,RYZODEG
MIRAN 0.5 g powder for injection,MIRAN
ALEVE 220 mg film-coated tablet,ALEVE
OCUFLOXIN 3 mg/ml ophthamic solution,OCUFLOXIN
DICLOPID 50 mg film-coated tablet,DICLOPID
VALPOHARDT 100 mg/ml solution for injection or infusion,VALPOHARDT
ASPIRIN PROTECT 100MG E.C. TABLETS,ASPIRIN
CIPROGRAM 750 mg film-coated tablet,CIPROGRAM
CEREZYME 400 U powder for concentrate for solution for infusion,CEREZYME
REZAL XR 50 mg extended-release tablet,REZAL
PHLEBODIA 600 mg film-coated tablet,PHLEBODIA
VEGA 50 mg film-coated tablet,VEGA
KLARE 500 mg film-coated tablet,KLARE
CANDAN 16 mg tablet,CANDAN
SAVIR 5% cream,SAVIR
PROTENSE 40 mg/5 ml oral solution,PROTENSE
ARCHIFAR 500 mg powder for solution for injection or infusion,ARCHIFAR
EZECHOL 10 mg tablet,EZECHOL
SETAPRO 20 mg film-coated tablet,SETAPRO
ENTYVIO 300 mg powder for concentrate for solution for infusion,ENTYVIO
G-PRIDE 4 mg tablet,GPRIDE
VANCO 1000 mg powder for solution for injection or infusion,VANCO
INVOKANA 100 mg film-coated tablet,INVOKANA
EPITAM 250 mg film-coated tablet,EPITAM
PROLAX ER 15 mg extended-release capsule,PROLAX
Avysk Plus 5/160 mg film-coated tablet,AVYSK
ARPENIA 15 mg tablet,ARPENIA
CRESCHOL 5 mg film-coated tablet,CRESCHOL
ZEMENTA 10 mg film-coated tablet,ZEMENTA
CALMTROL 1 mg film-coated tablet,CALMTROL
RIBOMUSTIN 25 mg powder for concentrate for solution for infusion,RIBOMUSTIN
CEFAJECT 500 mg IV,CEFAJECT
IBRANCE 75 mg capsule,IBRANCE
ALOPEXY 5% topical solution,ALOPEXY
HEROX 5 mg film-coated tablet,HEROX
FORTA-Z 1 g powder for solution for injection,FORTAZ
DOMINE 40 mg/ml concentrate for solution for infusion,DOMINE
GAZYVA 25 mg/ml concentrate for solution for infusion,GAZYVA
ENDOMETRIN 100 mg vafinal tablet,ENDOMETRIN
ADACEL 0.5 ml suspension for injection,ADACEL
FORXIGA 10 mg film-coated tablet,FORXIGA
BUTRANS 5 mcg/hour transdermal patch,BUTRANS
PLEGRIDY 125 mcg solution for injection,PLEGRIDY
IROVEL PLUS 150/12.5 mg film-coated tablet,IROVEL
LEVETAM 1000 mg film-coated tablet,LEVETAM
CREVAST 5 mg film-coated tablet,CREVAST
AVONEX 30 mcg/0.5 ml pre-filled pen,AVONEX
TECFIDERA 240 mg capsule,TECFIDERA
OXYCONTIN 15 mg controlled release tablet,OXYCONTIN
CLOPRAM 10 mg/2 ml solution for injection,CLOPRAM
CONTRA 15/200 mg softgel capsule,CONTRA
ELOXATIN 50MG VIAL,ELOXATIN
ELOCTA 3000 IU POWDER FOR SOLUTION FOR INJECTION,ELOCTA
CANESTEN SOLUTION 1%,CANESTEN
TYKERB 250MG F.C. TABLETS,TYKERB
REVOLADE 25MG FILM COATED TABLET,REVOLADE
ZOFRAN 8 mg tablet,ZOFRAN
ESBRIET 267 mg HARD CAPSULES,ESBRIET
OZAPIN 5 mg orally disintegrating tablet,OZAPIN
DARZALEX 100 mg per 5 ml,DARZALEX
TAVFLOX 500 mg film-coated tablet,TAVFLOX
QUETAL 50 mg XR extended-release tablet,QUETAL
MIDIXIME 100MG\5ML,MIDIXIME
VENCLEXTA 100 mg film-coated tablet,VENCLEXTA
DIPHERELINE P.R. 11.25 mg Powder for Suspension for Injection,DIPHERELINE
LAVIE ORAL SOLUTION 150 ML,LAVIE
ROZAVI 10 mg film-coated tablet,ROZAVI
RUCORON 50MG\5ML SOLUTION FOR IV BOLUS OR INFUSION,RUCORON
ESSENTIAL D-3 5000 IU CAPSULE,ESSENTIAL
TIMOLOL 0.5% OPHTHALMIC SOLUTION,TIMOLOL
VIMPAT 10 mg/ml SYRUP,VIMPAT
EFRAM XR 500 mg TABLET,EFRAM
ELIGARD 7.5 MG POWDER FOR SOLUTION FOR INJECTION,ELIGARD
ORFADIN 2 MG CAPSULE,ORFADIN
VULGA 80 mg XR film-coated tablet,VULGA
KEPPRA 1000MG F.C.TAB,KEPPRA
MYLERAN,MYLERAN
CENTRUM SILVER TABLETS,CENTRUM
MIRTAZA 30 mg film-coated tablet,MIRTAZA
CAPRELSA 100 mg film-coated tablet,CAPRELSA
MOVICOL SACHET POWDER FOR RECONSTITUTION,MOVICOL
TIMOPTOL .DROPS,TIMOPTOL
TYSABRI 300 MG/15ML,TYSABRI
BENZAFLEX 5 mg Film-Coated Tablets,BENZAFLEX
LEVANIX 500 mg film-coated tablet,LEVANIX
POSICAINE 200 INJECTION,POSICAINE
AGRIPLAT 12.5 MG SOLUTION FOR INFUSION,AGRIPLAT
LEVERA 60 mg film-coated tablet,LEVERA
RESOLOR 1 mg film-coated tablet,RESOLOR
IRESSA 250 mg film coated tablet,IRESSA
ZEMPLAR 1 mcg Capsule,ZEMPLAR
OCUDINE 0.15% EYE DROPS SOLUTION,OCUDINE
NEVOTIC 500 mg film-coated tablet,NEVOTIC
ZYLANZA 5 mg Orodispersible Tablet,ZYLANZA
ADRENALINE/EPINEPHRINE INJ 1:1000 INJECTION,ADRENALINEEPINEPHRINE
SEFARIX 125mg/5ml Powder For Suspension,SEFARIX
SAXENDA 6 mg/ml sloution for injection in pre-filled pen,SAXENDA
TENORYL 5 MG film-coated tablet,TENORYL
GAMUNEX 10% solution for infusion,GAMUNEX
REPLAGAL 1mg/ml concetrate for solution for infusion,REPLAGAL
TRIUMEQ 50mg/600mg/300mg film-coated tablet,TRIUMEQ
AERRANE LIQUID FOR INHALATION,AERRANE
D-CURA 2500 IU oral ampule,DCURA
VOTRIENT,VOTRIENT
BRINTELLIX 10 mg film-coated tablet,BRINTELLIX
HYCAMTIN 4MG I.V. VIAL,HYCAMTIN
PRISMASOL 2 mmol/l POTASSIUM SOLUTION FOR HAEMO/HAEMOFI,PRISMASOL
LEVON 500 mg film-coated tablet,LEVON
OLENZA 5 mg orally disintegrating tablet,OLENZA
