Scientific Name,Drugs.com URL,Adult Dosage,Pediatric Dosage,Renal Dose,Liver Dose,Dosage Context
OZANIMOD,https://www.drugs.com/dosage/ozanimod.html,Multiple Sclerosis | Ulcerative Colitis |,,,,[Adult] Multiple Sclerosis | Ulcerative Colitis |
BACLOFEN,https://www.drugs.com/dosage/baclofen.html,Spasticity | Cerebral Spasticity | Spinal Spasticity,Spasticity | Cerebral Spasticity | Spinal Spasticity |,,,[Adult] Spasticity | Cerebral Spasticity | Spinal Spasticity // [Pediatric] Spasticity | Cerebral Spasticity | Spinal Spasticity |
MINOXIDIL,https://www.drugs.com/dosage/minoxidil.html,Hypertension,Hypertension |,,,[Adult] Hypertension // [Pediatric] Hypertension |
OLIPUDASE ALFA,https://www.drugs.com/dosage/olipudase-alfa.html,Sphingolipidosis,Sphingolipidosis |,,,[Adult] Sphingolipidosis // [Pediatric] Sphingolipidosis |
ACITRETIN,https://www.drugs.com/dosage/acitretin.html,Psoriasis |,,,,[Adult] Psoriasis |
EPLERENONE,https://www.drugs.com/dosage/eplerenone.html,Congestive Heart Failure | Hypertension |,,,,[Adult] Congestive Heart Failure | Hypertension |
TERIPARATIDE,https://www.drugs.com/dosage/teriparatide.html,Osteoporosis |,,,,[Adult] Osteoporosis |
DIFELIKEFALIN,https://www.drugs.com/dosage/difelikefalin.html,Pruritus |,,,,[Adult] Pruritus |
BELIMUMAB,https://www.drugs.com/dosage/belimumab.html,Systemic Lupus Erythematosus | Lupus Nephritis,Systemic Lupus Erythematosus | Lupus Nephritis |,,,[Adult] Systemic Lupus Erythematosus | Lupus Nephritis // [Pediatric] Systemic Lupus Erythematosus | Lupus Nephritis |
AVACOPAN,https://www.drugs.com/dosage/avacopan.html,Vasculitis |,,,,[Adult] Vasculitis |
SORAFENIB,https://www.drugs.com/dosage/sorafenib.html,Renal Cell Carcinoma | Thyroid Cancer | Hepatocellular Carcinoma |,,,,[Adult] Renal Cell Carcinoma | Thyroid Cancer | Hepatocellular Carcinoma |
INTERFERON BETA-1B,https://www.drugs.com/dosage/interferon-beta-1b.html,Multiple Sclerosis |,,,,[Adult] Multiple Sclerosis |
CALCITRIOL,https://www.drugs.com/dosage/calcitriol.html,Hypocalcemia | Renal Osteodystrophy | Hypoparathyroidism | Secondary Hyperparathyroidism,Hypoparathyroidism | Hypocalcemia | Secondary Hyperparathyroidism |,,,[Adult] Hypocalcemia | Renal Osteodystrophy | Hypoparathyroidism | Secondary Hyperparathyroidism // [Pediatric] Hypoparathyroidism | Hypocalcemia | Secondary Hyperparathyroidism |
GABAPENTIN,https://www.drugs.com/dosage/gabapentin.html,Epilepsy | Postherpetic Neuralgia | Restless Legs Syndrome,Epilepsy |,,,[Adult] Epilepsy | Postherpetic Neuralgia | Restless Legs Syndrome // [Pediatric] Epilepsy |
LIDOCAINE,https://www.drugs.com/dosage/lidocaine.html,Ventricular Fibrillation | Ventricular Tachycardia | Cardiac Arrhythmia | Anesthesia,Ventricular Fibrillation | Ventricular Tachycardia | Anesthesia |,,,[Adult] Ventricular Fibrillation | Ventricular Tachycardia | Cardiac Arrhythmia | Anesthesia // [Pediatric] Ventricular Fibrillation | Ventricular Tachycardia | Anesthesia |
ROPIVACAINE,https://www.drugs.com/dosage/ropivacaine.html,Local Anesthesia | Cesarean Section | Labor Pain | Pain |,,,,[Adult] Local Anesthesia | Cesarean Section | Labor Pain | Pain |
Maribavir,https://www.drugs.com/dosage/maribavir.html,CMV Infection,CMV Infection |,,,[Adult] CMV Infection // [Pediatric] CMV Infection |
NAPROXEN,https://www.drugs.com/dosage/naproxen.html,Ankylosing Spondylitis | Osteoarthritis | Rheumatoid Arthritis | Acute Gout | Bursitis | Tendonitis | Dysmenorrhea | Pain | Fever,Fever | Pain | Juvenile Rheumatoid Arthritis |,,,[Adult] Ankylosing Spondylitis | Osteoarthritis | Rheumatoid Arthritis | Acute Gout | Bursitis | Tendonitis | Dysmenorrhea | Pain | Fever // [Pediatric] Fever | Pain | Juvenile Rheumatoid Arthritis |
Atogepant,https://www.drugs.com/dosage/atogepant.html,Migraine Prophylaxis |,,,,[Adult] Migraine Prophylaxis |
INDAPAMIDE,https://www.drugs.com/dosage/indapamide.html,Edema | Hypertension |,,,,[Adult] Edema | Hypertension |
BIVALIRUDIN,https://www.drugs.com/dosage/bivalirudin.html,Angina Pectoris | Percutaneous Coronary Intervention |,,,,[Adult] Angina Pectoris | Percutaneous Coronary Intervention |
VINORELBINE,https://www.drugs.com/dosage/vinorelbine.html,Non-Small Cell Lung Cancer |,,,,[Adult] Non-Small Cell Lung Cancer |
TECLISTAMAB,https://www.drugs.com/dosage/teclistamab.html,Multiple Myeloma |,,,,[Adult] Multiple Myeloma |
FOLIC ACID,https://www.drugs.com/dosage/folic-acid.html,Megaloblastic Anemia | Folic Acid Deficiency | Vitamin/Mineral Supplementation during Pregnancy/Lactation,Megaloblastic Anemia | Folic Acid Deficiency | Vitamin/Mineral Supplementation |,,,[Adult] Megaloblastic Anemia | Folic Acid Deficiency | Vitamin/Mineral Supplementation during Pregnancy/Lactation // [Pediatric] Megaloblastic Anemia | Folic Acid Deficiency | Vitamin/Mineral Supplementation |
GUSELKUMAB,https://www.drugs.com/dosage/guselkumab.html,Psoriatic Arthritis | Plaque Psoriasis |,,,,[Adult] Psoriatic Arthritis | Plaque Psoriasis |
NIRSEVIMAB,https://www.drugs.com/dosage/nirsevimab.html,,Respiratory Syncytial Virus |,,,[Pediatric] Respiratory Syncytial Virus |
ESZOPICLONE,https://www.drugs.com/dosage/eszopiclone.html,Insomnia,,,,[Adult] Insomnia
OCRELIZUMAB,https://www.drugs.com/dosage/ocrelizumab.html,Multiple Sclerosis |,,,,[Adult] Multiple Sclerosis |
NINTEDANIB,https://www.drugs.com/dosage/nintedanib.html,Idiopathic Pulmonary Fibrosis | Interstitial Lung Disease |,,,,[Adult] Idiopathic Pulmonary Fibrosis | Interstitial Lung Disease |
SPIRONOLACTONE,https://www.drugs.com/dosage/spironolactone.html,Edema | Hypertension | Congestive Heart Failure | Primary Hyperaldosteronism | Hypokalemia |,,,,[Adult] Edema | Hypertension | Congestive Heart Failure | Primary Hyperaldosteronism | Hypokalemia |
Teprotumumab,https://www.drugs.com/dosage/teprotumumab.html,Graves' Ophthalmopathy |,,,,[Adult] Graves' Ophthalmopathy |
ELETRIPTAN,https://www.drugs.com/dosage/eletriptan.html,Migraine |,,,,[Adult] Migraine |
NORFLOXACIN,https://www.drugs.com/dosage/norfloxacin.html,Cystitis | Urinary Tract Infection | Prostatitis | Gonococcal Infection - Uncomplicated | Pyelonephritis |,,,,[Adult] Cystitis | Urinary Tract Infection | Prostatitis | Gonococcal Infection - Uncomplicated | Pyelonephritis |
ATENOLOL,https://www.drugs.com/dosage/atenolol.html,Hypertension | Angina Pectoris Prophylaxis | Angina Pectoris | Myocardial Infarction,,,,[Adult] Hypertension | Angina Pectoris Prophylaxis | Angina Pectoris | Myocardial Infarction
CHLORAMBUCIL,https://www.drugs.com/dosage/chlorambucil.html,Hodgkin's Disease | Chronic Lymphocytic Leukemia | Lymphoma,non-Hodgkin's Lymphoma | Hodgkin's Disease |,,,[Adult] Hodgkin's Disease | Chronic Lymphocytic Leukemia | Lymphoma // [Pediatric] non-Hodgkin's Lymphoma | Hodgkin's Disease |
NIMODIPINE,https://www.drugs.com/dosage/nimodipine.html,Subarachnoid Hemorrhage |,,,,[Adult] Subarachnoid Hemorrhage |
"DESLORATADINE, PSEUDOEPHEDRINE",https://www.drugs.com/dosage/desloratadine-pseudoephedrine.html,Allergic Rhinitis,Allergic Rhinitis |,,,[Adult] Allergic Rhinitis // [Pediatric] Allergic Rhinitis |
NITROGLYCERIN,https://www.drugs.com/dosage/nitroglycerin.html,Angina Pectoris | Angina Pectoris Prophylaxis | Myocardial Infarction | Hypertension | Anal Fissure and Fistula |,,,,[Adult] Angina Pectoris | Angina Pectoris Prophylaxis | Myocardial Infarction | Hypertension | Anal Fissure and Fistula |
GLUCAGON,https://www.drugs.com/dosage/glucagon.html,Diagnostic | Hypoglycemia,Hypoglycemia |,,,[Adult] Diagnostic | Hypoglycemia // [Pediatric] Hypoglycemia |
FOMEPIZOLE,https://www.drugs.com/dosage/fomepizole.html,Methanol Poisoning | Ethylene Glycol Poisoning,Methanol Poisoning | Ethylene Glycol Poisoning |,,,[Adult] Methanol Poisoning | Ethylene Glycol Poisoning // [Pediatric] Methanol Poisoning | Ethylene Glycol Poisoning |
ACARBOSE,https://www.drugs.com/dosage/acarbose.html,Diabetes Type 2 |,,,,[Adult] Diabetes Type 2 |
TAMOXIFEN,https://www.drugs.com/dosage/tamoxifen.html,Breast Cancer | Breast Cancer - Adjuvant,McCune-Albright Syndrome | Precocious Puberty |,,,[Adult] Breast Cancer | Breast Cancer - Adjuvant // [Pediatric] McCune-Albright Syndrome | Precocious Puberty |
KETOCONAZOLE,https://www.drugs.com/dosage/ketoconazole.html,Blastomycosis | Chromomycosis | Coccidioidomycosis | Histoplasmosis | Paracoccidioidomycosis,Blastomycosis | Chromomycosis | Coccidioidomycosis | Histoplasmosis | Paracoccidioidomycosis |,,,[Adult] Blastomycosis | Chromomycosis | Coccidioidomycosis | Histoplasmosis | Paracoccidioidomycosis // [Pediatric] Blastomycosis | Chromomycosis | Coccidioidomycosis | Histoplasmosis | Paracoccidioidomycosis |
DEUCRAVACITINIB,https://www.drugs.com/dosage/deucravacitinib.html,Plaque Psoriasis |,,,,[Adult] Plaque Psoriasis |
IDARUCIZUMAB,https://www.drugs.com/dosage/idarucizumab.html,Reversal of Anticoagulation |,,,,[Adult] Reversal of Anticoagulation |
TAFASITAMAB,https://www.drugs.com/dosage/tafasitamab.html,Lymphoma |,,,,[Adult] Lymphoma |
FIDAXOMICIN,https://www.drugs.com/dosage/fidaxomicin.html,Clostridial Infection,Clostridial Infection |,,,[Adult] Clostridial Infection // [Pediatric] Clostridial Infection |
PIRTOBRUTINIB,https://www.drugs.com/dosage/pirtobrutinib.html,Mantle Cell Lymphoma |,,,,[Adult] Mantle Cell Lymphoma |
BLINATUMOMAB,https://www.drugs.com/dosage/blinatumomab.html,Acute Lymphoblastic Leukemia,Acute Lymphoblastic Leukemia |,,,[Adult] Acute Lymphoblastic Leukemia // [Pediatric] Acute Lymphoblastic Leukemia |
CEFADROXIL,https://www.drugs.com/dosage/cefadroxil.html,Skin or Soft Tissue Infection | Tonsillitis/Pharyngitis | Cystitis | Pyelonephritis | Urinary Tract Infection | Osteomyelitis,Urinary Tract Infection | Skin and Structure Infection | Tonsillitis/Pharyngitis | Impetigo | Bacterial Infection |,,,[Adult] Skin or Soft Tissue Infection | Tonsillitis/Pharyngitis | Cystitis | Pyelonephritis | Urinary Tract Infection | Osteomyelitis // [Pediatric] Urinary Tract Infection | Skin and Structure Infection | Tonsillitis/Pharyngitis | Impetigo | Bacterial Infection |
PROPYLTHIOURACIL,https://www.drugs.com/dosage/propylthiouracil.html,Hyperthyroidism | Thyroid Storm,Hyperthyroidism |,,,[Adult] Hyperthyroidism | Thyroid Storm // [Pediatric] Hyperthyroidism |
ATAZANAVIR,https://www.drugs.com/dosage/atazanavir.html,HIV Infection | Nonoccupational Exposure | Occupational Exposure,HIV Infection |,,,[Adult] HIV Infection | Nonoccupational Exposure | Occupational Exposure // [Pediatric] HIV Infection |
MAVACAMTEN,https://www.drugs.com/dosage/mavacamten.html,Hypertrophic Cardiomyopathy |,,,,[Adult] Hypertrophic Cardiomyopathy |
DOSTARLIMAB,https://www.drugs.com/dosage/dostarlimab.html,Endometrial Carcinoma | Solid Tumors |,,,,[Adult] Endometrial Carcinoma | Solid Tumors |
ODEVIXIBAT,https://www.drugs.com/dosage/odevixibat.html,Pruritus | Pruritus of Partial Biliary Obstruction | Progressive Familial Intrahepatic Cholestasis | Arteriohepatic Dysplasia,Pruritus | Pruritus of Partial Biliary Obstruction | Progressive Familial Intrahepatic Cholestasis | Arteriohepatic Dysplasia |,,,[Adult] Pruritus | Pruritus of Partial Biliary Obstruction | Progressive Familial Intrahepatic Cholestasis | Arteriohepatic Dysplasia // [Pediatric] Pruritus | Pruritus of Partial Biliary Obstruction | Progressive Familial Intrahepatic Cholestasis | Arteriohepatic Dysplasia |
LENACAPAVIR,https://www.drugs.com/dosage/lenacapavir.html,HIV Infection |,,,,[Adult] HIV Infection |
METHOTREXATE,https://www.drugs.com/dosage/methotrexate.html,Acute Lymphoblastic Leukemia | Trophoblastic Disease | Meningeal Leukemia | Mycosis Fungoides | Osteosarcoma | Psoriasis | Rheumatoid Arthritis | non-Hodgkin's Lymphoma | Breast Cancer | Head and Neck Cancer,Acute Lymphoblastic Leukemia | Meningeal Leukemia | Juvenile Rheumatoid Arthritis | non-Hodgkin's Lymphoma | Osteosarcoma |,,,[Adult] Acute Lymphoblastic Leukemia | Trophoblastic Disease | Meningeal Leukemia | Mycosis Fungoides | Osteosarcoma | Psoriasis | Rheumatoid Arthritis | non-Hodgkin's Lymphoma | Breast Cancer | Head and Neck Cancer // [Pediatric] Acute Lymphoblastic Leukemia | Meningeal Leukemia | Juvenile Rheumatoid Arthritis | non-Hodgkin's Lymphoma | Osteosarcoma |
TREPROSTINIL,https://www.drugs.com/dosage/treprostinil.html,Pulmonary Hypertension |,,,,[Adult] Pulmonary Hypertension |
TENECTEPLASE,https://www.drugs.com/dosage/tenecteplase.html,Myocardial Infarction |,,,,[Adult] Myocardial Infarction |
TELMISARTAN,https://www.drugs.com/dosage/telmisartan.html,Hypertension | Cardiovascular Risk Reduction |,,,,[Adult] Hypertension | Cardiovascular Risk Reduction |
AMIKACIN,https://www.drugs.com/dosage/amikacin.html,Intraabdominal Infection | Joint Infection | Osteomyelitis | Pneumonia | Skin or Soft Tissue Infection | Bacteremia | Urinary Tract Infection | Meningitis | Peritonitis | Bacterial Infection | Tuberculosis - Active | Mycobacterium avium-intracellulare - Treatment,Bacteremia | Intraabdominal Infection | Skin or Soft Tissue Infection | Pneumonia | Osteomyelitis | Joint Infection | Meningitis | Peritonitis | Urinary Tract Infection | Bacterial Infection | Mycobacterium avium-intracellulare - Treatment | Tuberculosis - Active |,,,[Adult] Intraabdominal Infection | Joint Infection | Osteomyelitis | Pneumonia | Skin or Soft Tissue Infection | Bacteremia | Urinary Tract Infection | Meningitis | Peritonitis | Bacterial Infection | Tuberculosis - Active | Mycobacterium avium-intracellulare - Treatment // [Pediatric] Bacteremia | Intraabdominal Infection | Skin or Soft Tissue Infection | Pneumonia | Osteomyelitis | Joint Infection | Meningitis | Peritonitis | Urinary Tract Infection | Bacterial Infection | Mycobacterium avium-intracellulare - Treatment | Tuberculosis - Active |
Epcoritamab,https://www.drugs.com/dosage/epcoritamab.html,B-Cell Lymphoma | Follicular Lymphoma |,,,,[Adult] B-Cell Lymphoma | Follicular Lymphoma |
METRONIDAZOLE,https://www.drugs.com/dosage/metronidazole.html,Bacterial Infection | Intraabdominal Infection | Peritonitis | Liver Abscess | Osteomyelitis | Joint Infection | Wound Infection | Skin and Structure Infection | Skin or Soft Tissue Infection | Amebiasis | Surgical Prophylaxis | Trichomoniasis | Bacterial Vaginosis | Pseudomembranous Colitis | Helicobacter pylori Infection | Pelvic Inflammatory Disease | Giardiasis | STD Prophylaxis | Nongonococcal Urethritis | Balantidium coli | Dientamoeba fragilis,Bacterial Infection | Amebiasis | Pseudomembranous Colitis | Intraabdominal Infection | Trichomoniasis | Nongonococcal Urethritis | Bacterial Vaginosis | Giardiasis | STD Prophylaxis | Balantidium coli | Dientamoeba fragilis | Pelvic Inflammatory Disease | Skin and Structure Infection | Skin or Soft Tissue Infection | Surgical Prophylaxis |,,,[Adult] Bacterial Infection | Intraabdominal Infection | Peritonitis | Liver Abscess | Osteomyelitis | Joint Infection | Wound Infection | Skin and Structure Infection | Skin or Soft Tissue Infection | Amebiasis | Surgical Prophylaxis | Trichomoniasis | Bacterial Vaginosis | Pseudomembranous Colitis | Helicobacter pylori Infection | Pelvic Inflammatory Disease | Giardiasis | STD Prophylaxis | Nongonococcal Urethritis | Balantidium coli | Dientamoeba fragilis // [Pediatric] Bacterial Infection | Amebiasis | Pseudomembranous Colitis | Intraabdominal Infection | Trichomoniasis | Nongonococcal Urethritis | Bacterial Vaginosis | Giardiasis | STD Prophylaxis | Balantidium coli | Dientamoeba fragilis | Pelvic Inflammatory Disease | Skin and Structure Infection | Skin or Soft Tissue Infection | Surgical Prophylaxis |
VILAZODONE,https://www.drugs.com/dosage/vilazodone.html,Depression |,,,,[Adult] Depression |
NERATINIB,https://www.drugs.com/dosage/neratinib.html,Breast Cancer - Adjuvant |,,,,[Adult] Breast Cancer - Adjuvant |
EMPAGLIFLOZIN,https://www.drugs.com/dosage/empagliflozin.html,Diabetes Type 2 | Heart Failure | Cardiovascular Risk Reduction | Chronic Kidney Disease,Diabetes Type 2 |,,,[Adult] Diabetes Type 2 | Heart Failure | Cardiovascular Risk Reduction | Chronic Kidney Disease // [Pediatric] Diabetes Type 2 |
GADOBUTROL,https://www.drugs.com/dosage/gadobutrol.html,CNS Magnetic Resonance Imaging | Diagnostic,CNS Magnetic Resonance Imaging |,,,[Adult] CNS Magnetic Resonance Imaging | Diagnostic // [Pediatric] CNS Magnetic Resonance Imaging |
FOSFOMYCIN,https://www.drugs.com/dosage/fosfomycin.html,Cystitis | Urinary Tract Infection |,,,,[Adult] Cystitis | Urinary Tract Infection |
UROFOLLITROPIN,https://www.drugs.com/dosage/urofollitropin.html,Follicle Stimulation |,,,,[Adult] Follicle Stimulation |
TAGRAXOFUSP,https://www.drugs.com/dosage/tagraxofusp.html,Malignant Disease,Malignant Disease |,,,[Adult] Malignant Disease // [Pediatric] Malignant Disease |
NYSTATIN,https://www.drugs.com/dosage/nystatin.html,Oral Thrush | Intestinal Candidiasis,Oral Thrush |,,,[Adult] Oral Thrush | Intestinal Candidiasis // [Pediatric] Oral Thrush |
MICAFUNGIN,https://www.drugs.com/dosage/micafungin.html,Esophageal Candidiasis | Fungal Infection Prophylaxis | Candidemia,Esophageal Candidiasis | Fungal Infection Prophylaxis | Candidemia |,,,[Adult] Esophageal Candidiasis | Fungal Infection Prophylaxis | Candidemia // [Pediatric] Esophageal Candidiasis | Fungal Infection Prophylaxis | Candidemia |
ABALOPARATIDE,https://www.drugs.com/dosage/abaloparatide.html,Osteoporosis |,,,,[Adult] Osteoporosis |
HYDROCHLOROTHIAZIDE,https://www.drugs.com/dosage/hydrochlorothiazide.html,Edema | Hypertension | Nephrocalcinosis | Osteoporosis | Diabetes Insipidus,Edema | Hypertension |,,,[Adult] Edema | Hypertension | Nephrocalcinosis | Osteoporosis | Diabetes Insipidus // [Pediatric] Edema | Hypertension |
MIRTAZAPINE,https://www.drugs.com/dosage/mirtazapine.html,Depression |,,,,[Adult] Depression |
GLIPIZIDE,https://www.drugs.com/dosage/glipizide.html,Diabetes Type 2,,,,[Adult] Diabetes Type 2
LEVONORGESTREL,https://www.drugs.com/dosage/levonorgestrel.html,Contraception | Postcoital Contraception,Contraception | Postcoital Contraception |,,,[Adult] Contraception | Postcoital Contraception // [Pediatric] Contraception | Postcoital Contraception |
SAPROPTERIN,https://www.drugs.com/dosage/sapropterin.html,Phenylketonuria,Phenylketonuria |,,,[Adult] Phenylketonuria // [Pediatric] Phenylketonuria |
RUFINAMIDE,https://www.drugs.com/dosage/rufinamide.html,Lennox-Gastaut Syndrome,Lennox-Gastaut Syndrome |,,,[Adult] Lennox-Gastaut Syndrome // [Pediatric] Lennox-Gastaut Syndrome |
SUCRALFATE,https://www.drugs.com/dosage/sucralfate.html,Duodenal Ulcer | Duodenal Ulcer Prophylaxis |,,,,[Adult] Duodenal Ulcer | Duodenal Ulcer Prophylaxis |
MYCOPHENOLATE MOFETIL,https://www.drugs.com/dosage/mycophenolate-mofetil.html,Organ Transplant - Rejection Prophylaxis,Organ Transplant - Rejection Prophylaxis |,,,[Adult] Organ Transplant - Rejection Prophylaxis // [Pediatric] Organ Transplant - Rejection Prophylaxis |
RITLECITINIB,https://www.drugs.com/dosage/ritlecitinib.html,Alopecia,Alopecia |,,,[Adult] Alopecia // [Pediatric] Alopecia |
ECULIZUMAB,https://www.drugs.com/dosage/eculizumab.html,Paroxysmal Nocturnal Hemoglobinuria | Hemolytic Uremic Syndrome | Myasthenia Gravis | Neuritis,Hemolytic Uremic Syndrome |,,,[Adult] Paroxysmal Nocturnal Hemoglobinuria | Hemolytic Uremic Syndrome | Myasthenia Gravis | Neuritis // [Pediatric] Hemolytic Uremic Syndrome |
"AMPICILLIN, SULBACTAM",https://www.drugs.com/dosage/ampicillin-sulbactam.html,Skin or Soft Tissue Infection | Skin and Structure Infection | Intraabdominal Infection | Bacterial Infection | Endocarditis | Sinusitis | Pelvic Inflammatory Disease | Surgical Prophylaxis,Bacterial Infection | Skin and Structure Infection | Endocarditis | Pelvic Inflammatory Disease | Sinusitis | Surgical Prophylaxis |,,,[Adult] Skin or Soft Tissue Infection | Skin and Structure Infection | Intraabdominal Infection | Bacterial Infection | Endocarditis | Sinusitis | Pelvic Inflammatory Disease | Surgical Prophylaxis // [Pediatric] Bacterial Infection | Skin and Structure Infection | Endocarditis | Pelvic Inflammatory Disease | Sinusitis | Surgical Prophylaxis |
TEDUGLUTIDE,https://www.drugs.com/dosage/teduglutide.html,Short Bowel Syndrome,Short Bowel Syndrome |,,,[Adult] Short Bowel Syndrome // [Pediatric] Short Bowel Syndrome |
IOPROMIDE,https://www.drugs.com/dosage/iopromide.html,Cerebral Arteriography | Peripheral Arteriography | Coronary Arteriography | Left Ventriculography | Computed Tomography | Urography,Computed Tomography | Urography | Coronary Arteriography |,,,[Adult] Cerebral Arteriography | Peripheral Arteriography | Coronary Arteriography | Left Ventriculography | Computed Tomography | Urography // [Pediatric] Computed Tomography | Urography | Coronary Arteriography |
GEMCITABINE,https://www.drugs.com/dosage/gemcitabine.html,Ovarian Cancer | Breast Cancer | Non-Small Cell Lung Cancer | Pancreatic Cancer |,,,,[Adult] Ovarian Cancer | Breast Cancer | Non-Small Cell Lung Cancer | Pancreatic Cancer |
DOXAZOSIN,https://www.drugs.com/dosage/doxazosin.html,Hypertension | Benign Prostatic Hyperplasia |,,,,[Adult] Hypertension | Benign Prostatic Hyperplasia |
ISOSORBIDE DINITRATE,https://www.drugs.com/dosage/isosorbide-dinitrate.html,Angina Pectoris Prophylaxis | Angina Pectoris |,,,,[Adult] Angina Pectoris Prophylaxis | Angina Pectoris |
"SACUBITRIL, VALSARTAN",https://www.drugs.com/dosage/sacubitril-valsartan.html,Congestive Heart Failure,Congestive Heart Failure |,,,[Adult] Congestive Heart Failure // [Pediatric] Congestive Heart Failure |
Nalbuphine,https://www.drugs.com/dosage/nalbuphine.html,Pain | Anesthesia |,,,,[Adult] Pain | Anesthesia |
NITROFURANTOIN,https://www.drugs.com/dosage/nitrofurantoin.html,Cystitis | Urinary Tract Infection | Cystitis Prophylaxis,Cystitis | Urinary Tract Infection | Cystitis Prophylaxis |,,,[Adult] Cystitis | Urinary Tract Infection | Cystitis Prophylaxis // [Pediatric] Cystitis | Urinary Tract Infection | Cystitis Prophylaxis |
FERRIC DERISOMALTOSE,https://www.drugs.com/dosage/ferric-derisomaltose.html,Iron Deficiency Anemia |,,,,[Adult] Iron Deficiency Anemia |
MESNA,https://www.drugs.com/dosage/mesna.html,Hemorrhagic Cystitis Prophylaxis,Hemorrhagic Cystitis Prophylaxis |,,,[Adult] Hemorrhagic Cystitis Prophylaxis // [Pediatric] Hemorrhagic Cystitis Prophylaxis |
ALFUZOSIN,https://www.drugs.com/dosage/alfuzosin.html,Benign Prostatic Hyperplasia |,,,,[Adult] Benign Prostatic Hyperplasia |
ITRACONAZOLE,https://www.drugs.com/dosage/itraconazole.html,Blastomycosis | Histoplasmosis | Aspergillosis - Aspergilloma | Aspergillosis - Invasive | Oral Thrush | Esophageal Candidiasis | Onychomycosis - Toenail | Onychomycosis - Fingernail | Coccidioidomycosis | Sporotrichosis | Cryptococcosis | Cryptococcal Meningitis - Immunosuppressed Host | Vaginal Candidiasis | Microsporidiosis | Paracoccidioidomycosis,Blastomycosis | Histoplasmosis | Oral Thrush | Esophageal Candidiasis | Coccidioidomycosis | Cryptococcosis | Cryptococcal Meningitis - Immunosuppressed Host | Vaginal Candidiasis | Microsporidiosis | Sporotrichosis |,,,[Adult] Blastomycosis | Histoplasmosis | Aspergillosis - Aspergilloma | Aspergillosis - Invasive | Oral Thrush | Esophageal Candidiasis | Onychomycosis - Toenail | Onychomycosis - Fingernail | Coccidioidomycosis | Sporotrichosis | Cryptococcosis | Cryptococcal Meningitis - Immunosuppressed Host | Vaginal Candidiasis | Microsporidiosis | Paracoccidioidomycosis // [Pediatric] Blastomycosis | Histoplasmosis | Oral Thrush | Esophageal Candidiasis | Coccidioidomycosis | Cryptococcosis | Cryptococcal Meningitis - Immunosuppressed Host | Vaginal Candidiasis | Microsporidiosis | Sporotrichosis |
DANICOPAN,https://www.drugs.com/dosage/danicopan.html,Paroxysmal Nocturnal Hemoglobinuria |,,,,[Adult] Paroxysmal Nocturnal Hemoglobinuria |
DULAGLUTIDE,https://www.drugs.com/dosage/dulaglutide.html,Diabetes Type 2 | Cardiovascular Risk Reduction |,,,,[Adult] Diabetes Type 2 | Cardiovascular Risk Reduction |
"EFAVIRENZ, EMTRICITABINE, TENOFOVIR DISOPROXIL",https://www.drugs.com/dosage/efavirenz-emtricitabine-tenofovir-disoproxil.html,HIV Infection | Nonoccupational Exposure | Occupational Exposure,HIV Infection |,,,[Adult] HIV Infection | Nonoccupational Exposure | Occupational Exposure // [Pediatric] HIV Infection |
ETRAVIRINE,https://www.drugs.com/dosage/etravirine.html,HIV Infection,HIV Infection |,,,[Adult] HIV Infection // [Pediatric] HIV Infection |
PALIPERIDONE,https://www.drugs.com/dosage/paliperidone.html,Schizophrenia | Schizoaffective Disorder,Schizophrenia |,,,[Adult] Schizophrenia | Schizoaffective Disorder // [Pediatric] Schizophrenia |
SAXAGLIPTIN,https://www.drugs.com/dosage/saxagliptin.html,Diabetes Type 2 |,,,,[Adult] Diabetes Type 2 |
RUXOLITINIB,https://www.drugs.com/dosage/ruxolitinib.html,Myeloproliferative Disorder | Graft Versus Host Disease | Polycythemia Vera,Graft Versus Host Disease |,,,[Adult] Myeloproliferative Disorder | Graft Versus Host Disease | Polycythemia Vera // [Pediatric] Graft Versus Host Disease |
GATIFLOXACIN,https://www.drugs.com/dosage/gatifloxacin.html,Inhalation Bacillus anthracis | Anthrax Prophylaxis | Bronchitis | Cystitis | Gonococcal Infection - Uncomplicated | Pneumonia | Pyelonephritis | Urinary Tract Infection | Sinusitis | Skin or Soft Tissue Infection | Tuberculosis - Active,Otitis Media |,,,[Adult] Inhalation Bacillus anthracis | Anthrax Prophylaxis | Bronchitis | Cystitis | Gonococcal Infection - Uncomplicated | Pneumonia | Pyelonephritis | Urinary Tract Infection | Sinusitis | Skin or Soft Tissue Infection | Tuberculosis - Active // [Pediatric] Otitis Media |
TIGECYCLINE,https://www.drugs.com/dosage/tigecycline.html,Intraabdominal Infection | Skin or Soft Tissue Infection | Skin and Structure Infection | Pneumonia,Intraabdominal Infection | Skin and Structure Infection | Pneumonia |,,,[Adult] Intraabdominal Infection | Skin or Soft Tissue Infection | Skin and Structure Infection | Pneumonia // [Pediatric] Intraabdominal Infection | Skin and Structure Infection | Pneumonia |
ATEZOLIZUMAB,https://www.drugs.com/dosage/atezolizumab.html,Urothelial Carcinoma | Non-Small Cell Lung Cancer | Small Cell Lung Cancer | Hepatocellular Carcinoma | Melanoma - Metastatic |,,,,[Adult] Urothelial Carcinoma | Non-Small Cell Lung Cancer | Small Cell Lung Cancer | Hepatocellular Carcinoma | Melanoma - Metastatic |
